"Pair","pair_1","pair_2","Bowker_pv","Bowker_ts","Stuart_pv","Stuart_ts","IS_pv","IS_ts","QS_pv","QS_ts","simulation"
"(S2; S3)","S2","S3",0.014207570941396,15.9168,0.117080744862793,5.89011,0.0183405338248301,10.0267,0.0582090836187865,1.89412,6
"(S2; S4)","S2","S4",0.00351668340337327,19.4154,0.00224537374947862,14.5492,0.181857852771777,4.86624,0.0418086306204046,2.03542,6
"(S2; S5)","S2","S5",1.13827689418515e-27,139.738,5.53690197900273e-30,139.231,0.917306779548713,0.5072,0.57807345569418,-0.556201,6
"(S2; S6)","S2","S6",4.15615168864995e-45,221.869,6.04977076908522e-47,217.784,0.252503956697712,4.0843,0.70777053881641,-0.374852,6
"(S2; S7)","S2","S7",6.33992268536848e-109,519.135,2.76105967249874e-111,514.939,0.241108795250921,4.19554,0.864637380056577,0.170474,6
"(S2; S8)","S2","S8",5.73419198101157e-96,458.978,2.05029360116396e-98,455.545,0.329531087350399,3.43319,0.382955844583458,-0.872463,6
"(S3; S4)","S3","S4",0.0860346554027882,11.0767,0.201791376441439,4.62049,0.0914071702935213,6.45617,0.244233594129715,-1.16447,6
"(S3; S5)","S3","S5",1.28303246607648e-21,110.96,1.64822143004502e-23,109.179,0.619119771954401,1.78081,0.360829829780524,-0.913785,6
"(S3; S6)","S3","S6",1.16100259996918e-33,168.058,7.50085982924154e-36,166.431,0.653181856684159,1.62745,0.207593616376222,-1.26021,6
"(S3; S7)","S3","S7",5.86436627100131e-80,384.546,8.60157408691646e-83,383.428,0.772622150567767,1.11845,0.391036047366503,-0.85774,6
"(S3; S8)","S3","S8",1.43947827329981e-72,350.141,7.12725512105267e-75,346.863,0.350755663531111,3.27772,0.0728403070119086,-1.79383,6
"(S4; S5)","S4","S5",6.50076163318529e-19,98.0177,5.59783192587171e-21,97.4114,0.894984500685598,0.606318,0.488884578958319,-0.692084,6
"(S4; S6)","S4","S6",2.0286837160079e-30,152.749,7.7266365026242e-32,147.834,0.178119793716584,4.91511,0.275242082266366,-1.09107,6
"(S4; S7)","S4","S7",3.22718655391807e-74,357.823,4.60583599943872e-76,352.357,0.140680330961728,5.4661,0.159762731110593,-1.40587,6
"(S4; S8)","S4","S8",7.17830281370267e-67,323.588,1.02921251820004e-68,318.412,0.159411984924496,5.17515,0.0916514333831764,-1.68675,6
"(S5; S6)","S5","S6",0.0227636934810303,14.6953,0.00869439921591614,11.6473,0.384279014263869,3.04803,0.510298480482642,-0.658373,6
"(S5; S7)","S5","S7",3.22791069391768e-40,198.916,1.10912492063705e-42,198.057,0.835420703452867,0.858536,0.805316876750205,0.246472,6
"(S5; S8)","S5","S8",9.29958740926148e-36,177.938,6.1538600244176e-38,176.093,0.605312369473619,1.84444,0.232219896621036,-1.19466,6
"(S6; S7)","S6","S7",6.20981451283016e-37,183.472,2.8767684778088e-39,182.253,0.748510889116217,1.21875,0.426125038998392,0.79584,6
"(S6; S8)","S6","S8",4.06399582421967e-31,156.049,1.51211922883891e-33,155.753,0.960806148689767,0.295855,0.917520119533428,-0.103558,6
"(S7; S8)","S7","S8",0.725468968942198,3.63844,0.601639856704706,1.86152,0.619968047904737,1.77693,0.258438303009114,-1.13009,6
"(S1; S2)","S1","S2",0.420166756337132,6.02705,0.88240198315943,0.660719,0.14685578237475,5.36633,0.25070033087088,1.14865,7
"(S1; S3)","S1","S3",4.62559003889485e-05,29.6279,3.06389255703564e-06,28.3519,0.734835087103141,1.27602,0.439264983026327,0.773435,7
"(S1; S4)","S1","S4",0.000142268750231236,27.041,7.89403434582787e-05,21.6017,0.142318855456689,5.43923,0.135903744427085,1.49122,7
"(S1; S5)","S1","S5",0.00217754252924643,20.585,0.000161631200736933,20.1026,0.922738293133,0.482411,0.715336105156449,0.364699,7
"(S1; S6)","S1","S6",0.00139266110829249,21.6643,0.00103408009999662,16.1953,0.140500928060447,5.46906,0.264747589245345,1.11524,7
"(S1; S7)","S1","S7",0.00013617708728305,27.1424,1.34022453943553e-05,25.294,0.60446606950996,1.84837,0.924882923966754,0.0942848,7
"(S1; S8)","S1","S8",0.00264323834914466,20.1137,0.000227103841300243,19.3895,0.867504966377701,0.724169,0.749899412218549,0.318772,7
"(S2; S3)","S2","S3",4.82457735408043e-05,29.5315,3.08544775208238e-06,28.3374,0.754419720493067,1.1941,0.523089688394958,-0.63859,7
"(S2; S4)","S2","S4",0.000984352413660937,22.4954,0.000121475566754215,20.7006,0.616067167392812,1.7948,0.783421494352423,0.274863,7
"(S2; S5)","S2","S5",4.23551602025833e-05,29.8294,4.04002436483236e-06,27.7797,0.562159721778492,2.04968,0.368051604684213,-0.900129,7
"(S2; S6)","S2","S6",0.000533343292853827,23.9504,3.24815995680141e-05,23.4535,0.919582028553905,0.496854,0.860505279799881,0.175731,7
"(S2; S7)","S2","S7",1.07868982938601e-05,32.9361,4.6852577871868e-07,32.228,0.871291223507427,0.708125,0.436601437938537,-0.777945,7
"(S2; S8)","S2","S8",0.000246723227997582,25.7604,1.92519091255658e-05,24.5416,0.748510889116217,1.21875,0.467572754245718,-0.726434,7
"(S3; S4)","S3","S4",0.338932344903455,6.80838,0.218349536224269,4.43295,0.498224707481377,2.37543,0.467868196860274,0.725952,7
"(S3; S5)","S3","S5",2.33696056007792e-15,80.8923,3.41970832134753e-17,79.7811,0.774375895765478,1.11118,0.610996874176621,-0.508651,7
"(S3; S6)","S3","S6",9.61974868330293e-15,77.9162,1.31859793881027e-16,77.0479,0.83306515621498,0.868321,0.532974396644855,0.623472,7
"(S3; S7)","S3","S7",3.68900270726796e-16,84.7671,4.85227067042718e-18,83.7337,0.793168454606874,1.03341,0.990844395808591,-0.0114751,7
"(S3; S8)","S3","S8",3.41224614259041e-13,70.383,4.48339707990381e-15,69.9003,0.922674283400101,0.482705,0.859484825136358,-0.17703,7
"(S4; S5)","S4","S5",1.10434428434919e-14,77.6256,5.05380414316523e-16,74.3257,0.347657954977601,3.29989,0.499622398369541,-0.675084,7
"(S4; S6)","S4","S6",6.64675192911238e-14,73.8412,2.4690343798181e-15,71.1101,0.43496633844477,2.73111,0.553760860940735,-0.592134,7
"(S4; S7)","S4","S7",1.35565315672622e-14,77.1938,2.44897537038035e-16,75.7937,0.705513634837493,1.40009,0.821264419964303,-0.225919,7
"(S4; S8)","S4","S8",1.00645584757329e-12,68.0911,9.87748420264341e-14,63.624,0.215244636093959,4.46709,0.549437655041126,-0.598603,7
"(S5; S6)","S5","S6",0.430657946222857,5.9337,0.559187187380317,2.06421,0.275904952977818,3.8695,0.33169769187316,0.9707,7
"(S5; S7)","S5","S7",0.014980714253476,15.7807,0.00605508703000829,12.4269,0.340219142517584,3.35384,0.550619550909472,0.596832,7
"(S5; S8)","S5","S8",0.143279919092061,9.58441,0.0789031800650511,6.78994,0.42441106276222,2.79447,0.950709600606328,0.0618157,7
"(S6; S7)","S6","S7",0.0512325398288349,12.5249,0.022313984855521,9.59774,0.40299255110193,2.92716,0.94473116527388,-0.0693247,7
"(S6; S8)","S6","S8",0.28456597306988,7.41026,0.258268467314134,4.02976,0.336594776254253,3.3805,0.976281588419494,0.029731,7
"(S7; S8)","S7","S8",0.770266078305236,3.30072,0.563197494895283,2.04462,0.73958300223457,1.2561,0.922219828424328,-0.0976379,7
"(S1; S2)","S1","S2",0.801275608448182,3.06003,0.563554667813745,2.04288,0.797102259822597,1.01715,0.547068304331418,0.602159,8
"(S1; S3)","S1","S3",0.0675131520295312,11.7612,0.010883379899557,11.1616,0.896531033862218,0.599569,0.500435295621323,-0.673805,8
