"Pair","pair_1","pair_2","Bowker_pv","Bowker_ts","Stuart_pv","Stuart_ts","IS_pv","IS_ts","QS_pv","QS_ts","Sat_cassius1_pv","Sat_test_Cassius1","Sat_cassius2_pv","Sat_test_Cassius2","Chi_Test_pv","Chi_test","simulation"
"(S1; S5)","S1","S5",5.01520484215811e-27,136.685,4.88453683825931e-29,134.845,0.606217654148932,1.84024,0.299051295054317,-1.03847,0.769668478657981,-0.0127783,0.833016752015133,-0.0167343,0.698683902193263,6.40612,79
"(S2; S3)","S2","S3",8.91933937617253e-21,106.937,2.18816451203465e-22,103.959,0.394986110226635,2.97828,0.217803434608727,1.23239,8.57901409851221e-261,0.597176,3.71991236563525e-237,0.569203,1.67769510270289e-249,1185.45,79
"(S2; S4)","S2","S4",6.53456122940048e-30,150.347,7.11162427453744e-32,148.001,0.503792320953025,2.34586,0.83690183386826,-0.205858,0.327370566263191,0.00774548,0.354912659621384,0.0064448,0.64093533573624,6.96335,79
"(S2; S5)","S2","S5",6.11339838065703e-36,178.796,1.12605139835925e-36,170.246,0.0359123336417139,8.55002,0.0480518042700535,-1.97691,0.681372369948501,-0.00816731,0.726342869372073,-0.0104233,0.0149006447104275,20.5316,79
"(S3; S4)","S3","S4",2.30636577162835e-94,451.524,1.82501131256708e-97,451.163,0.948131906638375,0.361219,0.973893010245189,0.0327261,0.470042542357354,0.00130186,0.47206019527844,0.00121403,0.234300604663165,11.6412,79
"(S3; S5)","S3","S5",9.08899157379479e-103,490.558,1.06240312753298e-105,489.167,0.707617566587376,1.39112,0.735189116420754,-0.338231,0.623105960182465,-0.00543255,0.641938738947281,-0.00629853,0.840755348188975,4.92548,79
"(S4; S5)","S4","S5",0.267537806758097,7.61686,0.419600251706912,2.82378,0.187591194739536,4.79308,0.435465043683358,-0.779874,0,0.897706,0,0.890197,0,2651.76,79
"(S1; S2)","S1","S2",0.0136113732966552,16.0267,0.00393110393416616,13.3536,0.444812899054413,2.67313,0.688249322934089,-0.401232,0,0.854546,0,0.837553,0,2393.79,80
"(S1; S3)","S1","S3",5.84218702803905e-51,249.281,1.37637619916864e-53,248.507,0.855797031715632,0.773489,0.983969423527367,0.0200927,1.69474700299589e-166,0.4759,3.00864413803662e-135,0.428219,3.32273537856144e-154,743.332,80
"(S1; S4)","S1","S4",2.0274090510576e-40,199.865,1.21544618689624e-42,197.873,0.574158224991698,1.99157,0.693553722452071,0.394037,0.9440981615075,-0.027542,0.973950222252083,-0.0336418,0.23040156835017,11.7059,80
