Sequences compared,Sat_test_Cassius_1,Sat_test_Cassius_2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(M._australis_II; M._irianjaya_AS_S7),0.253649,0.189305,2157.35,4259.4,4258.16,1.24538,0.810072,6647
(M._australis_II; M._kokasensis),2.54361,2.44266,13380.2,11.3676,7.40794,3.95964,-0.985003,6647
(M._australis_II; M._misoolensis_I),2.55467,2.45182,13482.1,20.4102,17.7718,2.63833,0.247799,6647
(M._australis_II; M._misoolensis_II),2.55978,2.45464,13506.1,23.2442,16.932,6.31224,-0.379935,6647
(M._australis_II; M._parva_AS),2.5395,2.43927,13354.6,14.7935,10.3516,4.44188,-0.213431,6647
(M._australis_II; M._sp._Rawarra),2.54093,2.441,13360,17.2924,10.2075,7.08492,0.522083,6647
(M._australis_II; M._sp._Suswa),2.57061,2.46751,13641.8,20.356,13.3701,6.98591,2.18003,6647
(M._australis_II; M._catherinae_I),2.54014,2.4412,13385.7,31.1257,22.7172,8.40851,-0.0806526,6643
(M._australis_II; M._catherinae_II),2.53918,2.44116,13378.1,29.8231,20.8384,8.98467,-0.145338,6643
(M._australis_II; M._synergos_I),2.54667,2.44894,13455.8,26.2507,18.5659,7.68487,-0.367665,6643
(M._australis_II; M._synergos_II_AS),2.54681,2.44852,13452.6,25.7041,16.983,8.72114,-0.855333,6643
(M._australis_II; I._werneri_II),2.4017,2.30873,11788.6,6.26682,1.56214,4.70469,-1.53736,6558
(M._australis_II; I._werneri_I),2.40028,2.30554,11762.2,3.5231,2.57449,0.948605,-0.695667,6562
(M._australis_II; R._ornatus_I),2.22195,2.11612,10041.6,32.9349,32.1135,0.821396,-0.750071,6598
(M._australis_II; R._ornatus_II),2.23408,2.12991,10196.4,37.3131,36.283,1.03012,-0.612876,6612
(M._australis_II; R._ornatus_III),2.20698,2.09526,9926.55,39.2436,37.3428,1.90085,-0.319681,6632
(M._australis_II; R._ornatus_IV),2.21248,2.10257,10000.2,39.8724,38.6715,1.20091,-0.0939857,6632
(M._australis_II; C._rhombosomoides),2.01368,1.93437,8401.55,40.0249,39.4855,0.539444,0.229838,6604
(M._australis_II; B._madagascariensis),1.69304,1.69601,6873.23,464.281,428.461,35.8201,3.05763,6672
(M._australis_II; B._longianalis),1.69487,1.69328,6824.77,434.072,401.074,32.9975,3.14328,6672
(M._australis_II; B._leucopteron),1.69639,1.69696,6861.35,452.153,420.528,31.6245,3.43987,6672
(M._australis_II; B._marojejy),1.68507,1.6885,6822.59,465.454,429.772,35.682,2.83733,6672
(M._australis_II; B._sp._Namorona),1.69175,1.68944,6801.48,440.7,402.96,37.7399,3.0738,6672
(M._australis_II; B._sp._Ankavia),1.50473,1.53415,5888.66,797.553,769.718,27.8351,3.39713,6672
(M._australis_II; R._alaotrensis),1.69156,1.69422,6860.69,448.613,412.943,35.6698,2.87946,6672
(M._australis_II; R._vatosoa),1.6915,1.69003,6832.79,469.648,438.097,31.5507,3.25261,6672
(M._australis_II; R._wrightae),1.69595,1.6959,6841.6,419.794,386.865,32.9285,3.02876,6672
(M._australis_II; Hypoatherina.tsurugae),1.74774,1.73008,7032.22,332.456,317.411,15.0451,1.12314,6672
(M._australis_II; Marosatherina.ladigesi),1.62592,1.61436,6214.55,389.45,376.489,12.9614,2.65881,6666
(M._australis_II; Pseudomugil.gertrudae),1.62902,1.62652,6378.55,470.041,444.134,25.9075,2.53925,6672
(M._australis_I; M._duboulayi_I),2.92678,2.80828,17560,10.1813,3.67976,6.5015,-0.183652,6669
(M._australis_I; M._duboulayi_II),2.53025,2.46392,13878.7,553.157,550.814,2.34272,-1.17844,6670
(M._australis_I; M._eachamensis),2.97058,2.84401,18013.2,6.87117,3.9983,2.87287,1.46418,6672
(M._australis_I; M._fluviatilis),2.92148,2.80477,17524.3,6.76003,2.57915,4.18089,-0.558595,6670
(M._australis_I; M._utcheensis),2.92548,2.80535,17533.8,5.56893,4.03692,1.53201,0.485545,6672
(M._australis_I; M._trifasciata_I_MT),2.40748,2.39496,13272.3,660.296,658.319,1.9771,1.23614,6672
(M._australis_I; M._trifasciata_I_S7),0.271436,0.217333,2300.85,4267.33,4267.15,0.177045,-0.189875,6666
(M._australis_I; M._s._inornata_S7),2.27073,2.26513,11943.4,637.917,629.558,8.3586,3.24473,6672
(M._australis_I; M._s._inornata_MT),0.285537,0.237525,2478.25,-nan,4292,-nan,-nan,6672
(M._australis_I; M._rubrostriatus_III),2.90258,2.78601,17281.6,4.402,1.94185,2.46014,-0.0737455,6664
(M._australis_I; M._rubrostriatus_II_MT),2.26795,2.26068,11897.2,630.479,626.576,3.90261,2.50097,6672
(M._australis_I; M._rubrostriatus_II_S7),0.288946,0.241298,2494.61,-nan,4284,-nan,-nan,6664
(M._australis_I; M._rubrostriatus_I),2.96462,2.84465,18015.8,5.36218,2.42045,2.94173,0.650596,6672
(M._australis_I; M._s._splendida_MT),2.27752,2.27325,12023.2,651.615,644.83,6.78506,3.00671,6672
(M._australis_I; M._s._splendida_S7),0.292845,0.247116,2510.26,-nan,4282,-nan,-nan,6672
(M._australis_I; M._s._tatei_MT),2.26138,2.25724,11863.9,647.197,639.397,7.80037,3.06913,6672
(M._australis_I; M._s._tatei_S7),0.290028,0.24304,2498.9,-nan,4282,-nan,-nan,6664
(M._australis_I; M._parkinsoni_I_AS_MT),2.26248,2.25719,11872.3,633.983,633.048,0.935062,1.69263,6672
