
Sequences compared,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(S4; S7),2.34995,2.35056,184173,1.16119,0.88311,0.27808,0.449727,100000
(S4; S8),2.23072,2.23069,165870,3.80646,3.67878,0.127682,0.000141894,100000
(S5; S6),2.51729,2.51688,211157,8.12212,2.90199,5.22013,-0.987996,100000
(S5; S7),2.34816,2.34835,183830,5.96634,2.24892,3.71742,-0.29774,100000
(S5; S8),2.22772,2.22729,165365,5.58446,3.23807,2.34639,-0.969899,100000
(S6; S7),2.51727,2.517,211180,9.96874,8.4053,1.56344,0.781523,100000
(S6; S8),2.38886,2.38794,190079,3.33327,2.93442,0.39885,-0.323262,100000
(S7; S8),2.77369,2.77331,256377,10.1984,9.12755,1.07081,-0.369205,100000
Sequences compared,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(S1; S2),2.43763,2.43733,198021,2.81235,0.879871,1.93248,-0.484871,100000
(S1; S3),2.17742,2.17629,157878,4.25257,3.72015,0.53242,-0.540728,100000
(S1; S4),2.24935,2.24893,168593,5.2531,1.36885,3.88425,0.583108,100000
(S1; S5),2.06159,2.0619,141721,9.42663,5.04621,4.38042,0.160388,100000
(S1; S6),2.20598,2.20608,162229,5.55878,3.13268,2.4261,0.374811,100000
(S1; S7),2.23769,2.23735,166859,5.14574,0.747187,4.39855,1.53087,100000
(S1; S8),2.11707,2.11715,149413,1.74044,1.70026,0.0401792,0.187283,100000
(S2; S3),2.33236,2.33145,181190,4.22087,2.73287,1.48801,0.178701,100000
(S2; S4),2.40858,2.40844,193354,3.42083,0.388972,3.03186,0.512937,100000
(S2; S5),2.20887,2.20948,162731,5.80442,2.80361,3.00081,0.767714,100000
(S2; S6),2.36089,2.3613,185861,3.30472,1.20283,2.10189,0.785038,100000
(S2; S7),2.40039,2.40033,192055,5.52003,0.155814,5.36421,1.95348,100000
(S2; S8),2.26966,2.27004,171771,3.00296,0.820692,2.18227,1.08081,100000
(S3; S4),2.4711,2.46998,203362,10.9874,1.52199,9.46536,2.21415,100000
(S3; S5),2.08901,2.08876,145433,5.06315,2.02574,3.03741,1.05281,100000
(S3; S6),2.23463,2.23412,166379,4.42508,2.38681,2.03827,1.31686,100000
(S3; S7),2.2708,2.26985,171744,10.1043,1.76167,8.3426,2.62342,100000
(S3; S8),2.14689,2.14639,153570,3.83262,1.26048,2.57213,1.50757,100000
(S4; S5),2.15775,2.15821,155267,4.0352,1.82265,2.21255,0.460538,100000
(S4; S6),2.30586,2.30611,177273,6.07928,0.977899,5.10138,-0.0668391,100000
(S4; S7),2.34225,2.34204,182840,1.61688,0.116347,1.50054,0.792647,100000
(S4; S8),2.21717,2.21739,163895,0.6636,0.27588,0.38772,-0.358525,100000
(S5; S6),2.50042,2.50153,208590,7.1352,1.06677,6.06843,0.7562,100000
(S5; S7),2.34109,2.34167,182784,5.44279,3.22846,2.21433,1.26372,100000
(S5; S8),2.21063,2.2116,163042,3.99702,1.85955,2.13747,-0.136382,100000
(S6; S7),2.50292,2.50327,208881,6.2436,1.88088,4.36272,0.857337,100000
(S6; S8),2.36381,2.3646,186381,3.08303,1.50977,1.57326,-0.225455,100000
(S7; S8),2.75936,2.75973,253872,6.67978,1.22457,5.45521,-1.42692,100000
Sequences compared,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(S1; S2),2.4417,2.44278,198910,9.88324,3.3819,6.50134,-1.37722,100000
(S1; S3),2.20035,2.19999,161336,8.12174,3.73525,4.38648,0.751208,100000
(S1; S4),2.25684,2.2565,169731,10.0063,1.47604,8.53028,0.290688,100000
(S1; S5),2.08276,2.08295,144632,15.3542,1.29886,14.0554,-0.0724757,100000
(S1; S6),2.2265,2.22626,165213,14.8542,2.16692,12.6873,-0.910493,100000
(S1; S7),2.25438,2.25475,169465,3.47531,0.67007,2.80524,0.0420991,100000
(S1; S8),2.13289,2.1331,151678,9.03558,2.13482,6.90076,-0.0454446,100000
(S2; S3),2.35772,2.35809,185358,12.5324,8.41897,4.1134,2.00295,100000
(S2; S4),2.42255,2.42296,195696,10.06,7.03901,3.02098,1.30513,100000
(S2; S5),2.22992,2.23083,165893,7.47181,1.82819,5.64361,-0.0135643,100000
(S2; S6),2.38681,2.38731,189980,7.91405,5.40187,2.51218,0.51678,100000
(S2; S7),2.41748,2.41865,194999,6.15508,1.78612,4.36896,1.62141,100000
(S2; S8),2.28792,2.28889,174641,4.22097,2.20914,2.01184,1.18072,100000
(S3; S4),2.48951,2.48841,206410,5.14336,4.49548,0.647882,0.144148,100000
(S3; S5),2.11834,2.11791,149525,7.3497,2.10017,5.24953,-0.485327,100000
(S3; S6),2.26765,2.26676,171277,4.76686,1.64429,3.12257,-0.619828,100000
(S3; S7),2.29722,2.29692,175864,5.32925,2.76708,2.56217,0.904673,100000
(S3; S8),2.176,2.17559,157776,4.13254,4.08647,0.0460636,-0.172653,100000
(S4; S5),2.17115,2.17075,157076,3.14938,1.45338,1.696,-0.626719,100000
(S4; S6),2.32634,2.32545,180260,1.19931,0.783118,0.416189,-0.0473304,100000
(S4; S7),2.35538,2.35511,184888,6.91167,2.21088,4.70079,1.18934,100000
(S4; S8),2.22966,2.22927,165658,3.27836,1.86388,1.41448,0.386761,100000
(S5; S6),2.51475,2.51439,210740,1.82943,0.880779,0.948654,0.00953499,100000
(S5; S7),2.3549,2.35519,184899,7.20157,0.444632,6.75693,0.928161,100000
(S5; S8),2.22828,2.22843,165533,7.93764,0.393411,7.54423,0.364307,100000
(S6; S7),2.51886,2.51868,211460,7.91376,2.04349,5.87026,1.06501,100000
(S6; S8),2.384,2.38369,189401,6.2544,1.26619,4.98821,0.427355,100000
(S7; S8),2.76357,2.76395,254650,9.9831,4.07634,5.90676,-0.833544,100000
Sequences compared,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(S1; S2),2.42429,2.42479,195988,3.4961,1.31277,2.18333,0.975493,100000
(S1; S3),2.16949,2.16955,156904,12.2029,9.61789,2.585,1.50992,100000
(S1; S4),2.22726,2.22817,165492,2.12227,0.658154,1.46412,-0.53907,100000
(S1; S5),2.05031,2.05018,140113,7.27285,6.67231,0.600538,0.164159,100000
(S1; S6),2.20167,2.20201,161633,6.41531,2.75374,3.66157,0.0544013,100000
(S1; S7),2.23642,2.23586,166640,6.1236,3.41963,2.70397,0.865854,100000
(S1; S8),2.11452,2.11414,148990,7.75132,3.7682,3.98312,0.778385,100000
(S2; S3),2.33019,2.33049,181045,11.7704,5.89506,5.87537,1.97118,100000
(S2; S4),2.39459,2.3958,191331,5.48527,1.19671,4.28856,-1.46349,100000
(S2; S5),2.20202,2.20209,161648,10.1418,9.05033,1.09146,-0.275588,100000
(S2; S6),2.36492,2.36553,186528,7.30813,3.7138,3.59433,0.0400688,100000
(S2; S7),2.4048,2.40445,192715,7.56549,3.67956,3.88593,0.168114,100000
(S2; S8),2.27525,2.27507,172535,7.12434,4.16105,2.9633,-0.858214,100000
(S3; S4),2.46516,2.46598,202710,22.7893,13.8452,8.94412,-2.49668,100000
(S3; S5),2.07909,2.07879,144058,19.4248,16.3696,3.05516,-1.11388,100000
(S3; S6),2.23477,2.23495,166508,15.9231,11.2417,4.68143,-1.52316,100000
(S3; S7),2.27324,2.27251,172149,9.89246,8.75168,1.14078,-0.580553,100000
(S3; S8),2.15041,2.14987,154071,12.0928,8.99311,3.09972,-1.46126,100000
(S4; S5),2.1341,2.13461,151890,7.27751,5.38715,1.89036,1.01309,100000
(S4; S6),2.29327,2.29433,175467,3.7537,1.49013,2.26357,1.26335,100000
(S4; S7),2.33129,2.33144,181190,8.9858,2.92522,6.06058,1.91547,100000
(S4; S8),2.20662,2.2069,162350,4.54089,2.90974,1.63115,0.787278,100000
(S5; S6),2.49873,2.4987,208120,4.85998,2.82105,2.03894,-0.0977901,100000
(S5; S7),2.33112,2.33016,180990,3.77622,3.1906,0.585612,0.755116,100000
(S5; S8),2.20241,2.20165,161577,2.66784,1.64855,1.01928,-0.140469,100000
(S6; S7),2.50024,2.49978,208298,2.96811,1.17223,1.79588,0.895169,100000
(S6; S8),2.36434,2.36406,186295,0.726018,0.673777,0.0522412,0.0456009,100000
(S7; S8),2.76169,2.76024,253964,3.53908,0.498349,3.04073,0.0727599,100000
Sequences compared,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(S1; S2),2.4468,2.44697,199590,5.88298,2.38028,3.5027,-1.77193,100000
(S1; S3),2.20042,2.20097,161479,6.08634,1.1007,4.98564,-1.47213,100000
(S1; S4),2.25525,2.25579,169626,15.7354,3.6457,12.0896,-0.580521,100000
(S1; S5),2.08045,2.08056,144297,7.19944,4.18113,3.01831,-0.911181,100000
(S1; S6),2.22601,2.22543,165097,26.1288,10.3576,15.7712,-0.406362,100000
(S1; S7),2.25425,2.25388,169337,4.98413,1.452,3.53214,-0.851845,100000
(S1; S8),2.13474,2.13499,151945,7.06947,0.262769,6.8067,-0.514434,100000
(S2; S3),2.34848,2.34899,183926,2.65477,1.64189,1.01288,0.090748,100000
(S2; S4),2.41279,2.41329,194137,15.7939,3.10864,12.6853,1.11701,100000
(S2; S5),2.222,2.22204,164588,4.49244,2.60208,1.89036,0.813815,100000
(S2; S6),2.37952,2.37881,188630,15.123,6.008,9.11495,1.20331,100000
(S2; S7),2.41174,2.41127,193810,5.17528,1.2204,3.95488,0.59259,100000
(S2; S8),2.2819,2.2821,173603,7.16031,1.11232,6.04798,0.348799,100000
(S3; S4),2.4814,2.48236,205408,8.84623,1.10125,7.74498,1.54567,100000
(S3; S5),2.11185,2.11227,148728,9.94602,6.02279,3.92323,-0.0168483,100000
(S3; S6),2.25426,2.25399,169361,23.7974,11.8111,11.9863,0.156727,100000
(S3; S7),2.28656,2.28653,174277,8.88303,3.22793,5.6551,-0.261593,100000
(S3; S8),2.16345,2.16404,156104,3.80697,1.3999,2.40707,-0.781469,100000
(S4; S5),2.16669,2.16709,156552,18.777,9.04867,9.72835,-0.170174,100000
(S4; S6),2.31493,2.31462,178598,28.9926,14.2954,14.6972,-0.385057,100000
(S4; S7),2.34813,2.34808,183787,9.18078,5.99889,3.18189,-0.442124,100000
(S4; S8),2.22176,2.22234,164629,4.22745,3.97727,0.250185,-0.247032,100000
(S5; S6),2.5192,2.51843,211418,4.80973,3.4946,1.31513,0.857736,100000
(S5; S7),2.35036,2.34986,184063,2.77382,2.69114,0.0826796,0.23511,100000
(S5; S8),2.22552,2.22568,165126,5.69449,2.89104,2.80345,1.23292,100000
(S6; S7),2.51833,2.51701,211182,9.18176,7.50048,1.68128,-0.0165736,100000
(S6; S8),2.38357,2.383,189297,16.8524,9.73757,7.11479,0.986796,100000
(S7; S8),2.76554,2.76516,254872,4.51829,2.7967,1.72159,0.263852,100000
Sequences compared,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(S1; S2),2.44905,2.44946,199997,5.06338,0.606328,4.45705,0.858507,100000
(S1; S3),2.19775,2.19692,160887,6.50086,3.54565,2.95521,1.58199,100000
(S1; S4),2.25382,2.25411,169370,3.797,1.18595,2.61105,1.4041,100000
(S1; S5),2.07519,2.0754,143580,2.83081,0.118883,2.71193,0.471452,100000
(S1; S6),2.2203,2.22022,164316,4.11641,2.05363,2.06278,1.02407,100000
(S1; S7),2.25816,2.25831,170001,4.48886,0.758016,3.73085,1.1003,100000
(S1; S8),2.14154,2.14177,152908,5.45519,0.802734,4.65245,1.13197,100000
(S2; S3),2.35133,2.35072,184199,6.01376,5.15546,0.858304,0.261576,100000
(S2; S4),2.41238,2.41297,194083,4.26506,1.75417,2.51089,0.47716,100000
(S2; S5),2.22424,2.22471,164980,3.27049,0.545904,2.72459,-0.934103,100000
(S2; S6),2.38145,2.38164,189076,3.99585,1.92,2.07585,-0.164006,100000
(S2; S7),2.421,2.42144,195448,7.51779,0.329216,7.18858,-0.826394,100000
(S2; S8),2.29684,2.29735,175928,2.23481,0.253232,1.98158,-0.0868848,100000
(S3; S4),2.48385,2.48311,205531,7.8761,6.74262,1.13349,0.790698,100000
(S3; S5),2.11409,2.11339,148885,8.78757,4.25591,4.53167,-1.3675,100000
(S3; S6),2.25841,2.25736,169859,4.7487,3.41509,1.33361,-0.986589,100000
(S3; S7),2.29637,2.29554,175655,10.2344,3.0709,7.16348,-0.275776,100000
(S3; S8),2.18023,2.17952,158348,9.21128,2.93063,6.28065,1.0375,100000
(S4; S5),2.16422,2.1646,156188,10.7662,1.76672,8.9995,-1.37339,100000
(S4; S6),2.31571,2.31581,178770,6.6934,5.63203,1.06137,-0.863116,100000
(S4; S7),2.35281,2.35315,184582,13.2947,2.13897,11.1557,-1.53747,100000
(S4; S8),2.23214,2.23254,166144,7.88787,1.66881,6.21906,-0.393778,100000
(S5; S6),2.51548,2.5155,210930,12.7624,3.25784,9.50459,0.988003,100000
(S5; S7),2.35763,2.35789,185325,9.26211,1.2432,8.01891,1.09697,100000
(S5; S8),2.23525,2.23558,166596,6.52232,1.25026,5.27207,1.55914,100000
(S6; S7),2.51988,2.51983,211654,6.99652,1.39176,5.60475,0.285159,100000
(S6; S8),2.39059,2.39063,190506,5.17534,1.4006,3.77474,0.344868,100000
(S7; S8),2.77424,2.77457,256608,5.45892,0.113015,5.34591,1.76187,100000
Sequences compared,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(S1; S2),2.45199,2.45214,200436,3.43799,2.60427,0.833723,-0.523432,100000
(S1; S3),2.20368,2.20403,161929,8.50838,1.22794,7.28044,-1.77737,100000
(S1; S4),2.26225,2.26215,170579,1.57606,0.387948,1.18811,0.246777,100000
(S1; S5),2.09461,2.09447,146231,2.40039,1.81332,0.587074,-0.397294,100000
(S1; S6),2.23036,2.23026,165804,2.97308,2.15214,0.82094,-0.836015,100000
(S1; S7),2.26275,2.26262,170649,2.10473,1.60461,0.500128,-0.15258,100000
(S1; S8),2.1504,2.15034,154133,1.66694,1.13373,0.533211,-0.569586,100000
(S2; S3),2.35401,2.35456,184802,9.50577,5.14956,4.35622,-1.29341,100000
(S2; S4),2.41793,2.41801,194895,4.88844,4.30476,0.583676,0.61501,100000
(S2; S5),2.23513,2.23513,166532,11.4353,7.5225,3.91278,-0.732646,100000
(S2; S6),2.38106,2.38113,188996,9.31343,7.11396,2.19947,-1.16411,100000
(S2; S7),2.4161,2.41612,194592,7.9441,7.90547,0.0386339,0.110366,100000
(S2; S8),2.29714,2.29725,175914,5.36749,5.05536,0.312127,0.419984,100000
(S3; S4),2.48607,2.48637,206070,11.3795,1.54957,9.82994,2.65549,100000
(S3; S5),2.12298,2.12318,150266,5.90474,1.42166,4.48309,1.14475,100000
(S3; S6),2.25955,2.25983,170229,2.5595,1.6743,0.885194,0.690494,100000
(S3; S7),2.29727,2.29751,175955,4.56127,1.38551,3.17576,1.67541,100000
(S3; S8),2.18478,2.18508,159155,4.84859,0.977378,3.87121,1.43444,100000
(S4; S5),2.18029,2.18005,158425,2.20544,0.839014,1.36643,-0.764061,100000
(S4; S6),2.32244,2.32226,179764,3.04337,0.904544,2.13883,-1.1284,100000
(S4; S7),2.36014,2.35992,185642,2.587,0.530397,2.0566,0.457296,100000
(S4; S8),2.24384,2.24369,167806,1.40106,0.29598,1.10508,0.0673111,100000
(S5; S6),2.52374,2.52347,212264,4.83754,1.37573,3.46181,-0.173573,100000
(S5; S7),2.36646,2.36616,186626,4.41615,0.158786,4.25737,-0.351957,100000
(S5; S8),2.24733,2.24711,168321,2.43223,0.645999,1.78623,0.0418707,100000
(S6; S7),2.52188,2.52165,211958,2.39411,0.612231,1.78188,0.723878,100000
(S6; S8),2.39726,2.39711,191540,2.57705,0.17091,2.40614,1.10117,100000
(S7; S8),2.77463,2.77441,256579,3.33821,0.653894,2.68431,0.663326,100000
Sequences compared,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(S1; S2),2.45505,2.45596,201060,3.44071,0.944704,2.496,1.42928,100000
(S1; S3),2.20314,2.20337,161831,5.75522,1.63343,4.12178,1.65721,100000
(S1; S4),2.26437,2.26461,170950,3.89434,2.67172,1.22262,0.828125,100000
(S1; S5),2.0896,2.08979,145577,3.92473,3.88048,0.0442551,0.168401,100000
(S1; S6),2.23578,2.2361,166673,2.96083,2.61046,0.350363,0.107058,100000
(S1; S7),2.26757,2.26832,171513,6.02508,3.0208,3.00429,1.03351,100000
(S1; S8),2.14674,2.14731,153702,5.45559,2.43396,3.02163,0.747468,100000
(S2; S3),2.35239,2.3524,184461,6.13109,2.89788,3.23321,-0.0363801,100000
(S2; S4),2.4151,2.41511,194428,3.1421,2.42007,0.72203,0.15707,100000
(S2; S5),2.22988,2.22985,165744,3.82288,2.10625,1.71663,0.0644503,100000
(S2; S6),2.38724,2.38733,189980,2.05269,1.21373,0.838957,-0.579014,100000
(S2; S7),2.42109,2.42163,195479,3.83457,2.47331,1.36126,0.113333,100000
(S2; S8),2.29096,2.29133,175009,2.29587,1.36655,0.929317,0.227186,100000
(S3; S4),2.47958,2.47895,204841,4.2731,2.05244,2.22066,0.411853,100000
(S3; S5),2.10932,2.10875,148232,5.69066,5.13355,0.557113,0.0463563,100000
(S3; S6),2.25863,2.25813,169975,5.21301,3.7373,1.47571,-0.906042,100000
(S3; S7),2.29401,2.29392,175408,10.5625,6.05098,4.51155,-0.525543,100000
(S3; S8),2.17197,2.17175,157223,8.17129,4.58432,3.58697,-0.347127,100000
(S4; S5),2.16674,2.16616,156412,6.13054,4.45127,1.67927,-0.323171,100000
(S4; S6),2.32097,2.32045,179486,4.6966,3.60752,1.08908,-0.998493,100000
(S4; S7),2.35757,2.35749,185263,8.74855,7.71664,1.03191,-0.431389,100000
(S4; S8),2.23169,2.23148,165988,6.37881,4.98212,1.39668,-0.326658,100000
(S5; S6),2.51398,2.51337,210571,3.1692,0.516051,2.65315,-1.1349,100000
(S5; S7),2.3572,2.35707,185196,5.71058,1.48971,4.22087,-0.0978946,100000
(S5; S8),2.23145,2.2312,165945,3.96015,0.536073,3.42408,0.0466897,100000
(S6; S7),2.52335,2.52335,212244,4.0064,1.45485,2.55155,1.24974,100000
(S6; S8),2.39042,2.39027,190449,5.21331,0.397383,4.81593,1.74368,100000
(S7; S8),2.76278,2.76312,254496,0.785589,0.619964,0.165625,-0.108343,100000
Sequences compared,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(S1; S2),2.445,2.44465,199212,5.01629,3.45856,1.55773,0.786076,100000
(S1; S3),2.18873,2.18836,159635,4.11613,2.77637,1.33976,-0.351516,100000
(S1; S4),2.24971,2.24931,168651,7.74573,7.10138,0.644348,-0.319267,100000
(S1; S5),2.08225,2.08127,144391,0.859937,0.470654,0.389283,-0.127156,100000
(S1; S6),2.22848,2.22711,165335,1.02313,0.82414,0.198995,-0.268776,100000
(S1; S7),2.24964,2.24912,168621,4.4556,1.63714,2.81845,-0.244599,100000
(S1; S8),2.13064,2.13037,151284,4.06096,1.90667,2.15429,0.178783,100000
(S2; S3),2.343,2.34377,183109,0.903461,0.195365,0.708096,-0.77236,100000
(S2; S4),2.41028,2.41105,193776,6.58017,3.14395,3.43622,-1.26994,100000
(S2; S5),2.22894,2.229,165618,3.29127,1.10469,2.18659,-0.568863,100000
(S2; S6),2.38787,2.3876,190023,7.37336,3.3401,4.03327,-1.67301,100000
(S2; S7),2.41209,2.41273,194044,4.03469,0.141151,3.89354,-1.68593,100000
(S2; S8),2.28496,2.2858,174164,1.97404,0.171018,1.80302,-0.810095,100000
(S3; S4),2.46764,2.46838,203101,3.13662,1.96922,1.1674,0.160538,100000
(S3; S5),2.10034,2.10036,147054,4.86278,1.45174,3.41104,0.941683,100000
(S3; S6),2.2488,2.2485,168529,4.87749,3.70049,1.177,0.13529,100000
(S3; S7),2.27593,2.27649,172753,1.706,0.412358,1.29364,0.077998,100000
(S3; S8),2.15308,2.15383,154636,2.7575,0.575283,2.18222,0.644352,100000
(S4; S5),2.16234,2.16234,155865,9.25545,5.09907,4.15638,1.44072,100000
(S4; S6),2.31477,2.31444,178561,10.9878,9.58528,1.40251,-0.286311,100000
(S4; S7),2.3409,2.34146,182753,6.668,3.68259,2.98541,-0.0274736,100000
(S4; S8),2.21686,2.21762,163932,7.58993,3.73179,3.85814,0.91483,100000
(S5; S6),2.51131,2.5102,210039,2.13727,0.596921,1.54035,-0.593585,100000
(S5; S7),2.34897,2.34883,183904,7.65467,0.667343,6.98733,-2.00705,100000
(S5; S8),2.22497,2.22507,165033,4.35913,0.784074,3.57505,-0.823858,100000
(S6; S7),2.51344,2.51294,210498,6.12885,2.84909,3.27975,-0.747766,100000
(S6; S8),2.37976,2.37953,188741,5.89721,2.48007,3.41714,-0.994351,100000
(S7; S8),2.76069,2.76147,254193,12.5092,0.345677,12.1635,0.550521,100000
Sequences compared,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(S1; S2),2.44417,2.44356,199035,3.20963,2.14836,1.06127,-0.756828,100000
(S1; S3),2.19729,2.19698,160896,5.16783,4.87905,0.288782,0.168827,100000
(S1; S4),2.25488,2.25424,169392,6.83205,5.69549,1.13656,-0.591767,100000
(S1; S5),2.08407,2.08431,144822,17.8049,15.9496,1.85527,0.151997,100000
(S1; S6),2.22466,2.22466,164978,14.0159,13.2612,0.754664,-0.161638,100000
(S1; S7),2.25606,2.2551,169522,10.7176,9.16609,1.55154,0.564492,100000
(S1; S8),2.13935,2.13867,152472,12.1625,9.52332,2.63922,1.31549,100000
(S2; S3),2.35112,2.35122,184276,4.88872,1.26897,3.61975,1.4831,100000
(S2; S4),2.41246,2.41223,193964,3.5955,3.48222,0.113276,-0.154318,100000
(S2; S5),2.22875,2.22941,165682,12.5981,9.8397,2.75841,0.780353,100000
(S2; S6),2.38326,2.3837,189408,11.0108,7.48712,3.52367,0.908126,100000
(S2; S7),2.41327,2.41269,194041,9.67544,6.56662,3.10882,0.049591,100000
(S2; S8),2.29062,2.29033,174858,8.00287,6.86111,1.14176,0.654829,100000
(S3; S4),2.48747,2.48748,206254,3.72628,3.27142,0.454861,-0.355812,100000
(S3; S5),2.12307,2.12392,150371,4.69245,3.91124,0.781213,-0.36623,100000
(S3; S6),2.26522,2.26588,171143,3.74819,2.14032,1.60786,-0.87421,100000
(S3; S7),2.29517,2.29486,175550,5.04582,3.30455,1.74127,-0.548658,100000
(S3; S8),2.17768,2.17763,158074,4.73483,3.96151,0.773316,-0.12072,100000
(S4; S5),2.17623,2.17678,157952,8.24935,7.33981,0.909534,0.57418,100000
(S4; S6),2.32124,2.32159,179663,5.2071,4.90263,0.304469,0.541682,100000
(S4; S7),2.35396,2.3533,184606,5.94954,3.66099,2.28856,1.09195,100000
(S4; S8),2.23434,2.23396,166356,3.45238,1.04224,2.41014,1.53922,100000
(S5; S6),2.52128,2.52265,212128,5.52668,0.888109,4.63857,-1.71254,100000
(S5; S7),2.36118,2.36145,185886,9.12007,7.81774,1.30233,-0.479923,100000
(S5; S8),2.24044,2.24095,167400,9.39682,6.9753,2.42152,0.537926,100000
(S6; S7),2.52233,2.52235,212078,6.82003,6.23769,0.582338,0.688794,100000
(S6; S8),2.39183,2.39212,190746,8.19046,5.18379,3.00666,1.4413,100000
(S7; S8),2.77432,2.77347,256408,13.3894,8.46522,4.92415,2.00375,100000
Sequences compared,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(S1; S2),2.44656,2.44732,199650,8.26195,8.10596,0.155995,-0.205573,100000
(S1; S3),2.19549,2.19607,160764,9.04378,5.86531,3.17848,-0.173043,100000
(S1; S4),2.25458,2.2556,169598,14.9331,9.17927,5.75386,-0.577384,100000
(S1; S5),2.08308,2.08312,144652,9.81309,8.46558,1.34751,-0.868158,100000
(S1; S6),2.22639,2.22701,165327,11.9356,11.4318,0.503833,-0.399941,100000
(S1; S7),2.25397,2.25495,169502,12.603,11.2156,1.38743,-1.03186,100000
(S1; S8),2.13726,2.13913,152537,11.6302,8.51375,3.11648,-1.64605,100000
(S2; S3),2.35264,2.35192,184387,4.52638,0.107371,4.41901,0.192513,100000
(S2; S4),2.41785,2.41754,194820,10.6721,1.89453,8.7776,-0.86078,100000
(S2; S5),2.22862,2.22739,165379,6.403,4.56655,1.83645,-0.329513,100000
(S2; S6),2.3846,2.3839,189436,7.99382,7.48175,0.512075,-0.665007,100000
(S2; S7),2.41537,2.41504,194418,7.3828,3.90844,3.47436,-1.68933,100000
(S2; S8),2.29049,2.2912,174991,12.5626,8.81807,3.74449,-1.93034,100000
(S3; S4),2.48454,2.48412,205697,2.72835,1.90613,0.822221,-0.0901245,100000
(S3; S5),2.11137,2.11012,148424,6.62231,2.96936,3.65295,-1.02269,100000
(S3; S6),2.26007,2.25932,170155,8.89011,4.95119,3.93892,-1.74487,100000
(S3; S7),2.28878,2.28838,174561,13.0481,2.67351,10.3746,-2.38218,100000
(S3; S8),2.1703,2.17088,157098,17.9127,6.81567,11.097,-2.89353,100000
(S4; S5),2.16875,2.16784,156656,8.76809,4.77275,3.99533,0.970395,100000
(S4; S6),2.32101,2.32064,179517,8.29672,4.39251,3.90421,-0.494849,100000
(S4; S7),2.35303,2.35303,184562,11.8493,0.449207,11.4001,-1.81132,100000
(S4; S8),2.23225,2.23323,166249,11.7253,4.196,7.52931,-1.69978,100000
(S5; S6),2.52154,2.52006,211692,3.38782,2.23023,1.15758,-1.07242,100000
(S5; S7),2.35305,2.35205,184409,7.11542,5.56505,1.55037,-0.971836,100000
(S5; S8),2.23057,2.23061,165860,10.6798,7.41694,3.26289,-1.31178,100000
(S6; S7),2.51658,2.51617,211040,4.98019,3.99442,0.985772,-0.659148,100000
(S6; S8),2.38659,2.38726,189970,4.77516,3.9351,0.840063,-0.870796,100000
(S7; S8),2.7649,2.7661,255047,10.0808,9.59885,0.481988,-0.584489,100000
Sequences compared,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(S1; S2),2.43575,2.43519,197673,0.625376,0.102682,0.522694,-0.166746,100000
(S1; S3),2.18147,2.18159,158647,3.8801,1.8287,2.0514,0.78711,100000
(S1; S4),2.24774,2.24756,168385,2.06955,0.469395,1.60016,0.245227,100000
(S1; S5),2.06298,2.06279,141840,2.3458,1.55708,0.788712,0.671529,100000
(S1; S6),2.21432,2.21311,163266,3.72496,1.39063,2.33433,0.964689,100000
(S1; S7),2.251,2.25142,168966,1.66617,1.26821,0.397957,0.346984,100000
(S1; S8),2.12781,2.12723,150841,3.16729,1.98605,1.18124,0.473367,100000
(S2; S3),2.33185,2.3322,181309,3.81978,1.66872,2.15106,1.45013,100000
(S2; S4),2.40238,2.40241,192389,3.63527,0.250267,3.385,1.32773,100000
(S2; S5),2.20558,2.20559,162158,3.68895,1.50355,2.1854,1.09445,100000
(S2; S6),2.36809,2.36704,186766,4.71837,1.53539,3.18298,1.47609,100000
(S2; S7),2.40645,2.40713,193146,3.5176,1.32882,2.18878,1.32786,100000
(S2; S8),2.27529,2.2749,172511,5.82419,2.81533,3.00886,1.18182,100000
