
Sequences compared,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(S2; S5),2.23122,2.23118,165940,2.01432,0.315963,1.69836,-0.394246,100000
(S2; S6),2.38811,2.38759,190021,3.49701,0.942147,2.55486,1.14027,100000
(S2; S7),2.41906,2.41937,195115,7.38515,0.837872,6.54728,1.13513,100000
(S2; S8),2.29183,2.29204,175119,7.8282,1.77046,6.05773,2.18018,100000
(S3; S4),2.48187,2.48202,205349,1.45834,0.679315,0.779025,-0.272078,100000
(S3; S5),2.10991,2.10992,148395,4.27743,0.351854,3.92558,-1.23971,100000
(S3; S6),2.25808,2.25764,169900,0.704234,0.278958,0.425277,-0.122863,100000
(S3; S7),2.29033,2.29068,174911,5.84799,0.365014,5.48298,-0.189825,100000
(S3; S8),2.16887,2.16913,156839,1.06977,0.475461,0.594306,-0.159658,100000
(S4; S5),2.17219,2.17238,157311,3.31592,1.41183,1.90409,-0.45206,100000
(S4; S6),2.32337,2.3231,179897,2.29166,0.810138,1.48152,1.1276,100000
(S4; S7),2.35289,2.35344,184627,3.94788,0.792279,3.1556,0.790523,100000
(S4; S8),2.22834,2.22878,165585,1.15189,0.0830594,1.06883,0.82436,100000
(S5; S6),2.51786,2.51745,211254,6.25944,1.67012,4.58932,1.88405,100000
(S5; S7),2.35225,2.35267,184503,2.76906,1.08104,1.68801,1.04143,100000
(S5; S8),2.22731,2.22764,165416,4.59592,1.65399,2.94194,1.44081,100000
(S6; S7),2.51787,2.51781,211313,5.73499,1.324,4.41099,-0.199706,100000
(S6; S8),2.3851,2.38497,189604,4.10538,1.04203,3.06336,0.106195,100000
(S7; S8),2.76313,2.76393,254645,6.54784,1.32368,5.22416,1.84696,100000
Sequences compared,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(S1; S2),2.44918,2.44895,199915,5.05864,3.24934,1.8093,0.230389,100000
(S1; S3),2.19729,2.19688,160882,2.86987,2.05848,0.811389,0.699509,100000
(S1; S4),2.26069,2.26032,170305,7.18006,4.38251,2.79755,1.38965,100000
(S1; S5),2.08139,2.08232,144540,2.96733,1.18778,1.77955,0.98018,100000
(S1; S6),2.22701,2.22758,165405,1.75403,0.344382,1.40965,0.195621,100000
(S1; S7),2.25558,2.25589,169638,4.71019,2.2968,2.4134,1.4636,100000
(S1; S8),2.13862,2.13928,152555,5.17678,2.67588,2.5009,1.52977,100000
(S2; S3),2.348,2.3468,183585,4.75183,1.54966,3.20217,1.31857,100000
(S2; S4),2.41561,2.41442,194317,9.21688,0.49736,8.71952,2.26605,100000
(S2; S5),2.22586,2.22611,165188,6.66987,4.71966,1.95022,1.29463,100000
(S2; S6),2.38127,2.38109,188990,3.21318,2.15784,1.05534,0.760361,100000
(S2; S7),2.41378,2.41331,194139,5.0422,2.00325,3.03895,1.4398,100000
(S2; S8),2.28378,2.28373,173850,8.47554,4.00755,4.46799,1.31882,100000
(S3; S4),2.48294,2.4815,205264,5.97716,4.01041,1.96675,0.807249,100000
(S3; S5),2.10531,2.10536,147756,7.11002,5.16528,1.94474,0.811224,100000
(S3; S6),2.25379,2.25341,169266,3.30227,2.98004,0.322229,-0.177554,100000
(S3; S7),2.2843,2.28366,173842,7.32901,4.12593,3.20308,1.64988,100000
(S3; S8),2.16341,2.16318,155982,6.73694,5.91523,0.821714,0.852576,100000
(S4; S5),2.17214,2.17224,157291,8.66098,5.68699,2.97399,-0.2338,100000
(S4; S6),2.32246,2.32213,179746,4.8715,3.3965,1.475,-0.995834,100000
(S4; S7),2.3507,2.35009,184099,4.41684,1.91918,2.49766,0.384838,100000
(S4; S8),2.22683,2.22663,165265,5.5305,3.88787,1.64262,-0.667576,100000
(S5; S6),2.51565,2.51681,211146,2.97168,1.50241,1.46927,0.00888493,100000
(S5; S7),2.35055,2.35136,184299,2.4455,2.08489,0.360609,0.241389,100000
(S5; S8),2.22662,2.22777,165434,2.59817,0.967856,1.63031,0.489687,100000
(S6; S7),2.51359,2.51398,210672,2.8047,1.60335,1.20136,0.818263,100000
(S6; S8),2.37938,2.38016,188841,4.14211,1.95299,2.18913,1.00153,100000
(S7; S8),2.76493,2.76552,254937,3.76678,1.68165,2.08513,-0.266974,100000
Sequences compared,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(S1; S2),2.4367,2.43772,198086,3.74346,2.40014,1.34333,0.242335,100000
(S1; S3),2.18584,2.18599,159291,2.4872,0.285575,2.20162,1.41466,100000
(S1; S4),2.25353,2.25285,169182,2.44948,1.34512,1.10436,0.954279,100000
(S1; S5),2.07133,2.07172,143073,3.59853,3.57542,0.0231074,-0.00107151,100000
(S1; S6),2.22047,2.22076,164396,3.01887,1.76792,1.25094,-0.861458,100000
(S1; S7),2.24866,2.24852,168529,0.458579,0.234293,0.224286,-0.373502,100000
(S1; S8),2.13518,2.13467,151895,1.61122,0.404871,1.20635,1.04364,100000
(S2; S3),2.34121,2.34218,182868,7.41806,1.99029,5.42777,0.939637,100000
(S2; S4),2.41393,2.41405,194260,4.00796,3.42153,0.586438,0.0803763,100000
(S2; S5),2.22043,2.22163,164532,9.65182,6.71717,2.93465,-0.692417,100000
(S2; S6),2.38008,2.38123,189015,9.40284,3.68455,5.71829,-1.81621,100000
(S2; S7),2.40733,2.40801,193289,8.49674,3.8565,4.64024,-1.6478,100000
(S2; S8),2.28592,2.28616,174222,4.79599,3.38679,1.4092,-0.516431,100000
(S3; S4),2.47876,2.47803,204690,3.61026,2.54763,1.06263,-0.87689,100000
